compound,solvent,lambda_max,source
c1ccccc1N=Nc2cn(cn2)C,CC#N,336.0,photoswitch
c1(c(N=Nc2c(ccc(c2)Cl)Cl)c(C)on1)C,CC#N,320.0,photoswitch
FC(F)(F)c1c(cccc1)N=Nc2ccc(cc2C)N(CCC#N)CCO,CCO,419.0,photoswitch
c1cc(ccc1N=NC=2C(N(C)C(N(C)C=2N)=O)=O)Cl,CCO,370.0,photoswitch
C(CO)N(CCO)c1ccc(N=Nc2ccccc2OC)c(c1)C,CCO,424.0,photoswitch
CC(C)(C)c1cc(c(O)cc1)N=Nc2nncs2,CCO,429.0,photoswitch
C1CN(CCN1c2ccc(cc2)N=Nc3ccc(cc3)N4CCN(CC4)C(CCl)=O)C(CCl)=O,O,450.0,photoswitch
c1cc(ccc1N=Nc2c(n[nH]c2C)C)C(=O)O,CC#N,342.0,photoswitch
c1cc(ccc1N=Nc2ccc(C)cc2)N(C)C,CCO,407.0,photoswitch
c1cnc(N=Nc2c(cccc2)Br)s1,CC#N,371.0,photoswitch
c1cc(ccc1)N=Nc2cc3c4N(CC3)CCCc4c2,CCO,425.0,photoswitch
c1(Cl)cccc(Cl)c1N=Nc2c(Cl)cc(cc2Cl)SC,CS(=O)C,350.0,photoswitch
c1cc(ccc1N=NC=2C(=C(C(=O)N)C(NC=2O)=O)C)OC,CCO,444.0,photoswitch
c1cc(ccc1)N=Nc2nccs2,CC#N,364.0,photoswitch
c1cc(ccc1N=Nc2c(cccc2)Cl)O,CCO,360.0,photoswitch
s1c(nc(C(=O)OCC)c1)N=Nc2nc(C(=O)OCC)c(CNCCC)s2,CCO,527.0,photoswitch
c1(cc(ccc1N=Nc2cc(ccc2)Cl)NCCC#N)C,CCO,408.0,photoswitch
c1cc(ccc1N(CC)CC)N=Nc2c(cc(cc2C#N)C#N)C#N,CCO,478.0,photoswitch
c1cc(ccc1-n2nc(c(N=Nc3c(n(nc3C)-c4ccc(S(=O)(=O)O)c(c4))O)c2O)C)S(=O)(=O)O,CCO,430.0,photoswitch
c1cc(ccc1C(C)=O)N=Nc2c(C)cc(cc2)N(CC(CO)O)CC,CO,457.0,photoswitch
O=S(=O)(N)c1cc(cc(c1OC)N=NC=2C(C)=C(C#N)C(=O)N(CC)C=2O)C,CCO,456.0,photoswitch
c1cc(ccc1N=NC=2C(=C(C(=O)N)C(NC=2O)=O)C)C#N,CCO,413.0,photoswitch
