num,subset,SMILES,lambda,t12,logt12,solvent,E (J),E (eV),mol
553,5,c1cc(ccc1N=Nc2c(noc2C)C)NC(C)=O,342,,,,5.81228070175439E-19,3.62774027433132,c1cc(ccc1N=Nc1c(noc1C)C)NC(C)=O
777,4,c1ccccc1N=Nc2cn(cn2)C,336,207360,5.3167249841905,acetonitrile,5.91607142857143E-19,3.69252135065866,c1ccccc1N=Nc1cn(cn1)C
315,5,c12ccccc1c(N=Nc3scnn3)c(C)n2C,434,,,,4.58018433179724E-19,2.85872620696155,c12ccccc1c(N=Nc1scnn1)c(C)n2C
261,3,c1(c(N=Nc2c(ccc(c2)Cl)Cl)c(C)on1)C,320,,,acetonitrile,6.211875E-19,3.8771474181916,c1(c(N=Nc2c(ccc(c2)Cl)Cl)c(C)on1)C
148,5,FC(F)(F)c1c(cccc1)N=Nc2ccccc2,317,,,,6.27066246056782E-19,3.91383966505145,FC(F)(F)c1c(cccc1)N=Nc1ccccc1
686,5,c1cc(ccc1[N+](=O)[O-])N=Nc2ccc(cc2)N(CCC#N)CCC#N,432,,,,4.60138888888889E-19,2.87196105051229,c1cc(ccc1[N+](=O)[O-])N=Nc1ccc(cc1)N(CCC#N)CCC#N
146,1,FC(F)(F)c1c(cccc1)N=Nc2ccc(cc2C)N(CCC#N)CCO,419,,,ethanol,4.74415274463007E-19,2.96106724062365,FC(F)(F)c1c(cccc1)N=Nc1ccc(cc1C)N(CCC#N)CCO
10,5,C(C)N(CC)c1cc(c(N=Nc2c(cc(cc2Br)[N+]([O-])=O)[N+]([O-])=O)cc1)OC,554,,,,3.58808664259928E-19,2.23950753397349,C(C)N(CC)c1cc(c(N=Nc2c(cc(cc2Br)[N+]([O-])=O)[N+]([O-])=O)cc1)OC
335,5,c1c(O)c2ncccc2c(c1)N=Nc3scc(n3)CC(=O)OCC,438,,,,4.53835616438356E-19,2.83261911831349,c1c(O)c2ncccc2c(c1)N=Nc1scc(n1)CC(=O)OCC
266,5,c1(c(N=Nc2cccc(F)c2)c(C)on1)C,315,,,,6.31047619047619E-19,3.93868944070257,c1(c(N=Nc2cccc(F)c2)c(C)on1)C
239,5,c1(C)cc(cc(C)c1N=Nc2c(C)cc(cc2C)C)C,325,,,,6.11630769230769E-19,3.81749899637326,c1(C)cc(cc(C)c1N=Nc1c(C)cc(cc1C)C)C
326,5,c1c(N)c(Cl)cc(N=Nc2cc([N+]([O-])=O)cc([N+](=O)[O-])c2O)c1N,492,,,,4.04024390243903E-19,2.52172189801079,c1c(N)c(Cl)cc(N=Nc2cc([N+]([O-])=O)cc([N+](=O)[O-])c2O)c1N
521,2,c1cc(ccc1N=NC=2C(N(C)C(N(C)C=2N)=O)=O)Cl,370,,,ethanol,5.37243243243243E-19,3.35320857789543,c1cc(ccc1N=NC=1C(N(C)C(N(C)C=1N)=O)=O)Cl
