Split_Type,Holdout,RMSE,MAE,R2,Pearson_r,N_test
scaffold,1,43.88917316929513,29.994876861572266,0.8180187344551086,0.9051422,8003
scaffold,2,43.22429973858021,29.649202346801758,0.8561617732048035,0.9253085,8003
scaffold,3,47.27736940866237,31.371051788330078,0.8400207161903381,0.9173635,8003
scaffold,4,77.21680554512567,42.42534255981445,0.6388341188430786,0.80935955,8002
scaffold,5,50.30079929937744,33.90120315551758,0.8095704317092896,0.8999163,8002
solvent,1,83.37783740018237,62.740726470947266,0.40696269273757935,0.64892876,5701
solvent,2,75.67546740646866,54.76027297973633,0.6009520292282104,0.7834691,3154
solvent,3,83.34326666057822,61.809326171875,0.40791893005371094,0.66543597,6123
solvent,4,59.195314046621334,42.98435974121094,0.7771499752998352,0.88443625,6998
solvent,5,79.71396925590426,61.105560302734375,0.5376445055007935,0.74800426,18037
cluster,1,53.52557389273724,36.83465576171875,0.7507933378219604,0.8678003,6224
cluster,2,69.31031965123411,48.710357666015625,0.5183598399162292,0.73077214,16123
cluster,3,85.92783752497644,52.14644241333008,0.48768407106399536,0.7073147,5064
cluster,4,63.23246769424016,42.73628234863281,0.7389672994613647,0.86104596,7217
cluster,5,47.076019493242256,34.65041732788086,0.8387587666511536,0.91981214,5385
Scaffold (avg),—,52.38168943220817,33.46833534240723,0.7925211548805237,0.891418,40013
Solvent (avg),—,76.26117095395097,56.680049133300784,0.5461256265640259,0.7460549,40013
Cluster (avg),—,63.814443651286034,43.015631103515624,0.6669126629829407,0.8173491,40013
Overall (avg),—,64.1524346791484,44.38800519307454,0.6685198148091634,0.81827396,120039
