Split_Type,Holdout,RMSE,MAE,R2,Pearson_r,N_test
scaffold,1,45.71814391374591,31.72653245667152,0.8025354769446476,0.8960236504643817,8003
scaffold,2,47.49631438965538,32.60097736387697,0.8263246227286393,0.9101765095309352,8003
scaffold,3,51.94840960870741,34.1973668595035,0.8068469108980829,0.8984327519896997,8003
scaffold,4,72.43163764304633,43.42562952898667,0.6822104221515783,0.830121568041283,8002
scaffold,5,52.07817804448874,34.84624025493224,0.795875011889907,0.8929396165207785,8002
solvent,1,39.779850703657054,22.79780622877778,0.8650083034340477,0.9302394384454874,5701
solvent,2,47.508592121867515,24.687567873606557,0.8427251585299476,0.9180630248248357,3154
solvent,3,45.65129064488272,25.998382279405416,0.8223577555913897,0.9076170894910527,6123
solvent,4,52.33747895650644,30.414534541519313,0.825793801619078,0.9097558501429457,6998
solvent,5,53.51054484171289,32.73832536856573,0.7916536423629447,0.8915057483890805,18037
cluster,1,53.441117817932664,36.233539240178445,0.7515791205915084,0.8702771139794909,6224
cluster,2,70.48991137685957,51.190457227740815,0.5018262537872007,0.7172409608775875,16123
cluster,3,93.69503772184552,54.160075905944,0.39087942459247416,0.6559543010080414,5064
cluster,4,70.66076094020865,48.41264442135531,0.6740347752144946,0.8250374596898146,7217
cluster,5,50.58008708567295,36.64536017004766,0.8138617132096223,0.9101598385281258,5385
Scaffold (avg),—,53.934536719928744,35.35934929279418,0.782758488922571,0.8855388193094156,40013
Solvent (avg),—,47.75755145372533,27.327323258374964,0.8295077323074814,0.9114362302586805,40013
Cluster (avg),—,67.77338298850387,45.32841539305325,0.6264362574790601,0.7957339348166121,40013
Overall (avg),—,56.488490387385994,36.005029314740796,0.7462341595697042,0.864236328128236,120039
